
================================================================================
2020-10-22, 17:38:59
001  00001 |Loss: 3.813 | Acc: 6.000% 
001  00002 |Loss: 3.808 | Acc: 10.000% 
001  00003 |Loss: 3.809 | Acc: 8.667% 
001  00004 |Loss: 3.803 | Acc: 10.000% 
001  00005 |Loss: 3.797 | Acc: 14.600% 
001  00006 |Loss: 3.789 | Acc: 17.000% 
001  00007 |Loss: 3.780 | Acc: 20.571% 
001  00008 |Loss: 3.773 | Acc: 23.125% 
001  00009 |Loss: 3.763 | Acc: 26.778% 
001  00010 |Loss: 3.751 | Acc: 29.700% 
001  00011 |Loss: 3.740 | Acc: 31.818% 
001  00012 |Loss: 3.727 | Acc: 33.583% 
001  00013 |Loss: 3.712 | Acc: 35.769% 
001  00014 |Loss: 3.695 | Acc: 38.071% 
001  00015 |Loss: 3.677 | Acc: 40.267% 
001  00016 |Loss: 3.658 | Acc: 42.000% 
001  00017 |Loss: 3.635 | Acc: 44.059% 
001  00018 |Loss: 3.614 | Acc: 45.278% 
001  00019 |Loss: 3.597 | Acc: 46.158% 
001  00020 |Loss: 3.577 | Acc: 47.300% 
001  00021 |Loss: 3.557 | Acc: 48.952% 
001  00022 |Loss: 3.537 | Acc: 50.273% 
001  00023 |Loss: 3.521 | Acc: 51.174% 
001  00024 |Loss: 3.504 | Acc: 52.250% 
001  00025 |Loss: 3.490 | Acc: 52.920% 
001  00026 |Loss: 3.475 | Acc: 53.692% 
001  00027 |Loss: 3.459 | Acc: 54.630% 
001  00028 |Loss: 3.446 | Acc: 55.107% 
001  00029 |Loss: 3.432 | Acc: 56.034% 
001  00030 |Loss: 3.418 | Acc: 56.867% 
001  00031 |Loss: 3.406 | Acc: 57.581% 
001  00032 |Loss: 3.391 | Acc: 58.469% 
001  00033 |Loss: 3.379 | Acc: 59.152% 
001  00034 |Loss: 3.367 | Acc: 59.971% 
001  00035 |Loss: 3.358 | Acc: 60.486% 
001  00036 |Loss: 3.348 | Acc: 60.889% 
001  00037 |Loss: 3.338 | Acc: 61.405% 
001  00038 |Loss: 3.327 | Acc: 62.000% 
001  00039 |Loss: 3.318 | Acc: 62.487% 
001  00040 |Loss: 3.306 | Acc: 63.150% 
001  00041 |Loss: 3.297 | Acc: 63.805% 
001  00042 |Loss: 3.288 | Acc: 64.262% 
001  00043 |Loss: 3.277 | Acc: 64.860% 
001  00044 |Loss: 3.267 | Acc: 65.409% 
001  00045 |Loss: 3.257 | Acc: 65.889% 
001  00046 |Loss: 3.249 | Acc: 66.261% 
001  00047 |Loss: 3.241 | Acc: 66.574% 
001  00048 |Loss: 3.233 | Acc: 66.979% 
001  00049 |Loss: 3.226 | Acc: 67.245% 
001  00050 |Loss: 3.218 | Acc: 67.600% 
001  00051 |Loss: 3.210 | Acc: 68.000% 
001  00052 |Loss: 3.202 | Acc: 68.365% 
001  00053 |Loss: 3.194 | Acc: 68.755% 
001  00054 |Loss: 3.186 | Acc: 69.111% 
001  00055 |Loss: 3.178 | Acc: 69.509% 
001  00056 |Loss: 3.170 | Acc: 69.893% 
001  00057 |Loss: 3.161 | Acc: 70.281% 
001  00058 |Loss: 3.154 | Acc: 70.552% 
001  00059 |Loss: 3.148 | Acc: 70.780% 
001  00060 |Loss: 3.141 | Acc: 71.100% 
001  00061 |Loss: 3.135 | Acc: 71.426% 
001  00062 |Loss: 3.130 | Acc: 71.581% 
001  00063 |Loss: 3.124 | Acc: 71.873% 
001  00064 |Loss: 3.118 | Acc: 72.156% 
001  00065 |Loss: 3.112 | Acc: 72.415% 
001  00066 |Loss: 3.106 | Acc: 72.682% 
001  00067 |Loss: 3.100 | Acc: 72.940% 
001  00068 |Loss: 3.093 | Acc: 73.279% 
001  00069 |Loss: 3.087 | Acc: 73.536% 
001  00070 |Loss: 3.081 | Acc: 73.786% 
001  00071 |Loss: 3.076 | Acc: 73.972% 
001  00072 |Loss: 3.071 | Acc: 74.208% 
001  00073 |Loss: 3.066 | Acc: 74.384% 
001  00074 |Loss: 3.061 | Acc: 74.595% 
001  00075 |Loss: 3.055 | Acc: 74.813% 
001  00076 |Loss: 3.050 | Acc: 75.053% 
001  00077 |Loss: 3.044 | Acc: 75.260% 
001  00078 |Loss: 3.038 | Acc: 75.487% 
001  00079 |Loss: 3.033 | Acc: 75.671% 
001  00080 |Loss: 3.029 | Acc: 75.787% 
001  00081 |Loss: 3.025 | Acc: 75.975% 
001  00082 |Loss: 3.021 | Acc: 76.146% 
001  00083 |Loss: 3.017 | Acc: 76.277% 
001  00084 |Loss: 3.012 | Acc: 76.464% 
001  00085 |Loss: 3.006 | Acc: 76.706% 
001  00086 |Loss: 3.001 | Acc: 76.919% 
001  00087 |Loss: 2.996 | Acc: 77.115% 
001  00088 |Loss: 2.991 | Acc: 77.307% 
001  00089 |Loss: 2.987 | Acc: 77.483% 
001  00090 |Loss: 2.983 | Acc: 77.622% 
001  00091 |Loss: 2.979 | Acc: 77.802% 
001  00092 |Loss: 2.975 | Acc: 77.946% 
001  00093 |Loss: 2.970 | Acc: 78.108% 
001  00094 |Loss: 2.966 | Acc: 78.287% 
001  00095 |Loss: 2.961 | Acc: 78.474% 
001  00096 |Loss: 2.958 | Acc: 78.604% 
001  00097 |Loss: 2.955 | Acc: 78.722% 
001  00098 |Loss: 2.951 | Acc: 78.878% 
001  00099 |Loss: 2.947 | Acc: 79.030% 
001  00100 |Loss: 2.943 | Acc: 79.190% 
001  00101 |Loss: 2.938 | Acc: 79.337% 
001  00102 |Loss: 2.934 | Acc: 79.480% 
001  00103 |Loss: 2.930 | Acc: 79.621% 
001  00104 |Loss: 2.926 | Acc: 79.740% 
001  00105 |Loss: 2.922 | Acc: 79.886% 
001  00106 |Loss: 2.918 | Acc: 80.019% 
