
================================================================================
2020-10-24, 13:45:05

================================================================================
2020-10-24, 13:52:18

================================================================================
2020-10-24, 14:03:08
001  00001 |Loss: 6.123 | Acc: 5.000% 
001  00002 |Loss: 6.108 | Acc: 12.500% 
001  00003 |Loss: 6.095 | Acc: 12.667% 
001  00004 |Loss: 6.094 | Acc: 12.500% 
001  00005 |Loss: 6.074 | Acc: 12.600% 
001  00006 |Loss: 6.056 | Acc: 14.500% 
001  00007 |Loss: 6.036 | Acc: 17.429% 
001  00008 |Loss: 6.015 | Acc: 20.250% 
001  00009 |Loss: 5.991 | Acc: 23.333% 
001  00010 |Loss: 5.959 | Acc: 26.500% 
001  00011 |Loss: 5.923 | Acc: 29.182% 
001  00012 |Loss: 5.884 | Acc: 31.917% 
001  00013 |Loss: 5.843 | Acc: 34.692% 
001  00014 |Loss: 5.795 | Acc: 36.857% 
001  00015 |Loss: 5.748 | Acc: 38.867% 

================================================================================
2020-10-24, 19:01:09
001  00001 |Loss: 6.114 | Acc: 3.000% 
001  00002 |Loss: 6.104 | Acc: 6.500% 
001  00003 |Loss: 6.098 | Acc: 12.000% 
001  00004 |Loss: 6.097 | Acc: 14.000% 
001  00005 |Loss: 6.071 | Acc: 19.600% 
001  00006 |Loss: 6.051 | Acc: 24.500% 
001  00007 |Loss: 6.028 | Acc: 27.571% 
001  00008 |Loss: 6.005 | Acc: 31.000% 
001  00009 |Loss: 5.985 | Acc: 32.778% 
001  00010 |Loss: 5.964 | Acc: 34.900% 
001  00011 |Loss: 5.941 | Acc: 36.727% 
001  00012 |Loss: 5.920 | Acc: 38.250% 
001  00013 |Loss: 5.894 | Acc: 39.923% 
001  00014 |Loss: 5.866 | Acc: 41.429% 
001  00015 |Loss: 5.840 | Acc: 42.533% 
001  00016 |Loss: 5.814 | Acc: 43.750% 
001  00017 |Loss: 5.786 | Acc: 45.059% 
001  00018 |Loss: 5.758 | Acc: 46.222% 
001  00019 |Loss: 5.737 | Acc: 46.895% 
001  00020 |Loss: 5.715 | Acc: 47.500% 
001  00021 |Loss: 5.693 | Acc: 48.048% 
001  00022 |Loss: 5.662 | Acc: 48.864% 
001  00023 |Loss: 5.633 | Acc: 49.652% 
001  00024 |Loss: 5.610 | Acc: 50.042% 
001  00025 |Loss: 5.585 | Acc: 50.520% 
001  00026 |Loss: 5.567 | Acc: 50.462% 
001  00027 |Loss: 5.544 | Acc: 51.000% 
001  00028 |Loss: 5.523 | Acc: 51.500% 
001  00029 |Loss: 5.495 | Acc: 52.379% 
001  00030 |Loss: 5.467 | Acc: 53.233% 
001  00031 |Loss: 5.447 | Acc: 53.548% 
001  00032 |Loss: 5.422 | Acc: 54.125% 
001  00033 |Loss: 5.397 | Acc: 54.606% 
001  00034 |Loss: 5.371 | Acc: 55.147% 
001  00035 |Loss: 5.346 | Acc: 55.829% 
001  00036 |Loss: 5.320 | Acc: 56.389% 
001  00037 |Loss: 5.295 | Acc: 56.838% 
001  00038 |Loss: 5.275 | Acc: 57.158% 
001  00039 |Loss: 5.253 | Acc: 57.615% 
001  00040 |Loss: 5.228 | Acc: 57.975% 
001  00041 |Loss: 5.205 | Acc: 58.341% 
001  00042 |Loss: 5.181 | Acc: 58.857% 
001  00043 |Loss: 5.158 | Acc: 59.233% 
001  00044 |Loss: 5.137 | Acc: 59.568% 
001  00045 |Loss: 5.114 | Acc: 60.022% 
001  00046 |Loss: 5.093 | Acc: 60.413% 
001  00047 |Loss: 5.072 | Acc: 60.723% 
001  00048 |Loss: 5.056 | Acc: 61.021% 
001  00049 |Loss: 5.036 | Acc: 61.265% 
001  00050 |Loss: 5.014 | Acc: 61.640% 
001  00051 |Loss: 4.992 | Acc: 62.059% 
001  00052 |Loss: 4.969 | Acc: 62.462% 
001  00053 |Loss: 4.951 | Acc: 62.755% 
001  00054 |Loss: 4.933 | Acc: 63.056% 
001  00055 |Loss: 4.915 | Acc: 63.291% 
001  00056 |Loss: 4.895 | Acc: 63.589% 
001  00057 |Loss: 4.878 | Acc: 63.877% 
001  00058 |Loss: 4.862 | Acc: 64.155% 
001  00059 |Loss: 4.845 | Acc: 64.390% 
001  00060 |Loss: 4.828 | Acc: 64.650% 
001  00061 |Loss: 4.811 | Acc: 64.984% 
001  00062 |Loss: 4.795 | Acc: 65.290% 
001  00063 |Loss: 4.778 | Acc: 65.667% 
001  00064 |Loss: 4.761 | Acc: 66.031% 
001  00065 |Loss: 4.747 | Acc: 66.231% 
001  00066 |Loss: 4.734 | Acc: 66.409% 
001  00067 |Loss: 4.717 | Acc: 66.731% 
001  00068 |Loss: 4.699 | Acc: 67.044% 
001  00069 |Loss: 4.685 | Acc: 67.203% 
001  00070 |Loss: 4.669 | Acc: 67.500% 
001  00071 |Loss: 4.652 | Acc: 67.761% 
001  00072 |Loss: 4.639 | Acc: 67.958% 
001  00073 |Loss: 4.627 | Acc: 68.137% 
001  00074 |Loss: 4.613 | Acc: 68.365% 
001  00075 |Loss: 4.599 | Acc: 68.653% 
001  00076 |Loss: 4.587 | Acc: 68.842% 
001  00077 |Loss: 4.574 | Acc: 69.104% 
001  00078 |Loss: 4.562 | Acc: 69.295% 
001  00079 |Loss: 4.550 | Acc: 69.506% 
001  00080 |Loss: 4.540 | Acc: 69.662% 
001  00081 |Loss: 4.528 | Acc: 69.840% 
001  00082 |Loss: 4.516 | Acc: 70.037% 
001  00083 |Loss: 4.504 | Acc: 70.229% 
001  00084 |Loss: 4.493 | Acc: 70.429% 
001  00085 |Loss: 4.481 | Acc: 70.647% 
001  00086 |Loss: 4.471 | Acc: 70.860% 
001  00087 |Loss: 4.459 | Acc: 71.103% 
001  00088 |Loss: 4.449 | Acc: 71.273% 
001  00089 |Loss: 4.438 | Acc: 71.449% 
001  00090 |Loss: 4.426 | Acc: 71.589% 
001  00091 |Loss: 4.417 | Acc: 71.703% 
001  00092 |Loss: 4.407 | Acc: 71.880% 
001  00093 |Loss: 4.397 | Acc: 72.022% 
001  00094 |Loss: 4.389 | Acc: 72.085% 
001  00095 |Loss: 4.377 | Acc: 72.295% 
001  00096 |Loss: 4.371 | Acc: 72.365% 
001  00097 |Loss: 4.363 | Acc: 72.464% 
001  00098 |Loss: 4.354 | Acc: 72.612% 
001  00099 |Loss: 4.342 | Acc: 72.788% 
001  00100 |Loss: 4.334 | Acc: 72.900% 
001  00101 |Loss: 4.324 | Acc: 73.010% 
001  00102 |Loss: 4.315 | Acc: 73.167% 
001  00103 |Loss: 4.305 | Acc: 73.301% 
001  00104 |Loss: 4.296 | Acc: 73.433% 
001  00105 |Loss: 4.286 | Acc: 73.610% 
001  00106 |Loss: 4.279 | Acc: 73.689% 
001  00107 |Loss: 4.270 | Acc: 73.822% 
001  00108 |Loss: 4.263 | Acc: 73.917% 
001  00109 |Loss: 4.253 | Acc: 74.083% 
001  00110 |Loss: 4.245 | Acc: 74.191% 
001  00111 |Loss: 4.236 | Acc: 74.360% 
001  00112 |Loss: 4.228 | Acc: 74.482% 
001  00113 |Loss: 4.220 | Acc: 74.611% 
001  00114 |Loss: 4.213 | Acc: 74.719% 
001  00115 |Loss: 4.204 | Acc: 74.852% 
001  00116 |Loss: 4.196 | Acc: 74.940% 
001  00117 |Loss: 4.188 | Acc: 75.068% 
001  00118 |Loss: 4.179 | Acc: 75.237% 
001  00119 |Loss: 4.172 | Acc: 75.319% 
001  00120 |Loss: 4.166 | Acc: 75.400% 
001  00121 |Loss: 4.158 | Acc: 75.529% 
001  00122 |Loss: 4.154 | Acc: 75.598% 
001  00123 |Loss: 4.147 | Acc: 75.699% 
001  00124 |Loss: 4.140 | Acc: 75.815% 
001  00125 |Loss: 4.132 | Acc: 75.944% 
001  00126 |Loss: 4.125 | Acc: 76.040% 
001  00127 |Loss: 4.119 | Acc: 76.126% 
001  00128 |Loss: 4.112 | Acc: 76.227% 
001  00129 |Loss: 4.105 | Acc: 76.326% 
001  00130 |Loss: 4.098 | Acc: 76.454% 
001  00131 |Loss: 4.093 | Acc: 76.519% 
001  00132 |Loss: 4.089 | Acc: 76.591% 
001  00133 |Loss: 4.083 | Acc: 76.662% 
001  00134 |Loss: 4.078 | Acc: 76.746% 
001  00135 |Loss: 4.072 | Acc: 76.852% 
001  00136 |Loss: 4.065 | Acc: 76.963% 
001  00137 |Loss: 4.059 | Acc: 77.051% 
001  00138 |Loss: 4.053 | Acc: 77.138% 
001  00139 |Loss: 4.049 | Acc: 77.180% 
001  00140 |Loss: 4.043 | Acc: 77.279% 
001  00141 |Loss: 4.038 | Acc: 77.348% 
001  00142 |Loss: 4.030 | Acc: 77.479% 
001  00143 |Loss: 4.024 | Acc: 77.573% 
001  00144 |Loss: 4.018 | Acc: 77.660% 
001  00145 |Loss: 4.012 | Acc: 77.738% 
001  00146 |Loss: 4.005 | Acc: 77.849% 
001  00147 |Loss: 4.000 | Acc: 77.939% 
001  00148 |Loss: 3.993 | Acc: 78.061% 
001  00149 |Loss: 3.988 | Acc: 78.141% 
001  00150 |Loss: 3.981 | Acc: 78.260% 
001  00151 |Loss: 3.976 | Acc: 78.331% 
001  00152 |Loss: 3.970 | Acc: 78.421% 
001  00153 |Loss: 3.965 | Acc: 78.471% 
001  00154 |Loss: 3.961 | Acc: 78.545% 
001  00155 |Loss: 3.956 | Acc: 78.619% 
001  00156 |Loss: 3.952 | Acc: 78.673% 
001  00157 |Loss: 3.947 | Acc: 78.758% 
001  00158 |Loss: 3.943 | Acc: 78.797% 
001  00159 |Loss: 3.939 | Acc: 78.843% 
001  00160 |Loss: 3.934 | Acc: 78.906% 
001  00161 |Loss: 3.929 | Acc: 79.006% 
001  00162 |Loss: 3.924 | Acc: 79.086% 
001  00163 |Loss: 3.918 | Acc: 79.160% 
001  00164 |Loss: 3.913 | Acc: 79.238% 
001  00165 |Loss: 3.908 | Acc: 79.285% 
001  00166 |Loss: 3.903 | Acc: 79.361% 
001  00167 |Loss: 3.900 | Acc: 79.365% 
001  00168 |Loss: 3.895 | Acc: 79.440% 
001  00169 |Loss: 3.890 | Acc: 79.509% 
001  00170 |Loss: 3.885 | Acc: 79.594% 
001  00171 |Loss: 3.881 | Acc: 79.673% 
001  00172 |Loss: 3.877 | Acc: 79.733% 
001  00173 |Loss: 3.872 | Acc: 79.809% 
001  00174 |Loss: 3.867 | Acc: 79.897% 
001  00175 |Loss: 3.862 | Acc: 79.977% 
001  00176 |Loss: 3.858 | Acc: 80.023% 
001  00177 |Loss: 3.855 | Acc: 80.068% 
001  00178 |Loss: 3.851 | Acc: 80.124% 
001  00179 |Loss: 3.846 | Acc: 80.196% 
001  00180 |Loss: 3.841 | Acc: 80.261% 
